stop_id,stop_name,stop_lat,stop_lon
29953,Marpit Dr & Sussex Blvd ,39.957437,-75.339437
30638,Lombard St & 23rd St,39.946426,-75.179349
30639,Lombard St & 24th St,39.946553,-75.180423
30640,Lombard St & 25th St,39.94668,-75.181544
30641,Lombard St & 26th St,39.946834,-75.182677
30642,27th St & South St,39.94607,-75.184274
30643,Spruce St & 34th St - FS,39.950613,-75.193552
30644,South St & 26th St,39.945764,-75.183212
30645,South St & 25th St,39.945601,-75.18195
30646,South St & 24th St,39.945474,-75.180899
30647,South St & 23rd St,39.945338,-75.179837
30648,South St & Convention Av,39.948883,-75.189814
30649,South St & 27th St,39.94591,-75.184369
29910,Ridge Av & Veterans Dr ,39.829381,-75.409461
29911,Evergreen Dr & Maris Grove Way ,39.881407,-75.528754
29912,Brinton Lake Rd & Franklin Dr,39.885792,-75.535876
29913,Applied Card Systems & Baltimore Pk,39.880183,-75.541069
29914,State Farm Dr & Baltimore Pk - FS,39.882753,-75.542691
29915,State Farm Dr & Baltimore Pk,39.882857,-75.543082
29916,Baltimore Pk & Conchester Hwy - FS,39.885585,-75.527402
29917,State & Burmont Rd,39.950317,-75.311775
30626,Morehall Rd & GreatValley Pkwy - FS,40.063541,-75.535463
30627,Morehall Rd & ValleyStream Pkwy -FS,40.056603,-75.529054
30628,Morehall Rd & Liberty Blvd - FS,40.054229,-75.528424
30492,Baltimore Pk & School Lane,39.916588,-75.415377
30493,Elwyne Institute & Hadley Wy,39.91227,-75.412944
29927,3rd St & Pennell St ,39.841338,-75.373071
29928,Ridge Av & Veterns Dr ,39.829571,-75.409407
29961,Island Av & Woodland Av ,39.917168,-75.246175
29982,Post St & Pennell St ,39.824083,-75.408104
30393,Avenue of the States & 8th St,39.852252,-75.360611
29925,Morton Av & Hyatt St ,39.857768,-75.353079
29789,Chester Rd & I476 - MBNS,39.888412,-75.355159
29793,Chester Rd & I476 - FS,39.887975,-75.355212
29794,Chester Rd & Yale Rd,39.89717,-75.351064
29795,Lansdowne Av & Brighton Av - MBNS,39.96443,-75.291862
29797,State Rd & Sproul Rd - FS,39.938342,-75.351254
29798,Marple Crossroads Shopping Ctr #2,39.937784,-75.356998
29800,Baltimore Pk & Middletown Rd - FS,39.914922,-75.426965
29801,Riddle Memorial Hospital 2,39.91328,-75.430423
29802,Middletown Rd & Van Leer Av,39.918166,-75.433604
29803,Middletown Rd & Delco Juvenile Det,39.921843,-75.443054
29919,Middletown Rd & Lima Estates ,39.922991,-75.443561
29921,Penn State University,39.928397,-75.447222
29942,Chester Pk & Welcome Av,39.892957,-75.296094
29943,Chester Pk & Madison Av,39.88071,-75.309808
29944,Chester Pk & Comerford Av,39.87861,-75.315372
29945,Chester Pk & Princeton Av - FS,39.877372,-75.319393
29946,Crum Lynne Station,39.871826,-75.330613
29947,Chester Pk & S Taylor Av,39.869607,-75.335569
29948,Saville Av & 13th St,39.86346,-75.345497
29949,9th St & Sun Village Park ,39.857497,-75.347981
29950,9th St & McDowell Av,39.856485,-75.350893
29951,9th St & Butler St,39.848115,-75.372376
29929,Commerce Dr & McDonald Blvd - MBFS,39.846807,-75.407756
29930,Pennell Rd & Lampost Ln,39.85848,-75.426874
29931,Pennell Rd & Weir Rd - FS,39.86441,-75.427652
29932,Pennell Rd & Lehr Blvd,39.866132,-75.427727
29933,Pennell Rd & Chestnut Av ,39.901241,-75.438143
29934,Concord Rd & Pennell Rd,39.868971,-75.428589
29935,Concord Rd & Lehr Blvd,39.865925,-75.428157
29937,Dutton Mill Rd & Joanne Dr,39.859463,-75.418425
29938,Concord Rd & Incinerator Rd - MBNS,39.851043,-75.401851
29939,9th St & Sun Village Park,39.857475,-75.347726
29940,9th St & Ashland St,39.858987,-75.343684
30490,BNY Mellon,40.102844,-75.411195
30499,Manoa Rd & West Chester Pk - FS,39.972119,-75.312783
30500,Lawrence Rd & Brighton Village,39.974823,-75.339544
30497,Redhill Dr & Robinson Dr,39.960157,-75.347451
30496,S Central Blvd & Redhill Dr,39.962648,-75.345571
30498,Sproul Rd & New Ardmore Av,39.970535,-75.361199
30538,Elmwood Av & 76th St,39.910042,-75.247704
30008,Market St & Marshall  St ,39.819395,-75.416795
30381,3rd St & Flower St,39.837224,-75.380456
30382,3rd St & Welsh St - FS,39.847592,-75.357609
30383,4th St & Ave of the States - FS,39.847585,-75.359802
